,user_id,sku_id,type,sum(count),max(time),type#1,typetime#1,type#2,typetime#2,type#3,typetime#3,type#4,typetime#4,type#5,typetime#5,type#6,typetime#6
0,31447,62476,6,1,2016-03-01 11:06:48,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0
1,32400,140412,6,7,2016-03-01 11:11:37,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,7.0,0
2,24092,22962,6,5,2016-03-01 22:11:05,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,5.0,0
3,94947,50225,6,2,2016-03-01 15:51:46,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,0
4,60530,81163,6,2,2016-03-01 06:32:49,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,0
5,77301,126791,6,2,2016-03-01 20:26:16,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,0
6,2292,109912,6,1,2016-03-01 15:59:10,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0
7,96752,34851,6,2,2016-03-01 22:22:59,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,0
8,23484,12564,6,2,2016-03-01 21:26:22,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,0
9,74681,12564,6,3,2016-03-01 15:29:50,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.0,0
10,52335,61531,6,1,2016-03-01 10:37:27,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,0
11,61571,68686,6,2,2016-03-01 03:23:57,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,0
12,53184,148258,6,2,2016-03-01 18:28:29,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,0
13,93920,133436,6,2,2016-03-01 10:02:53,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,0
14,62576,7199,6,2,2016-03-01 09:54:17,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,0
15,2971,7199,6,8,2016-03-01 13:20:17,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,8.0,0
16,2243,119008,6,2,2016-03-01 21:45:16,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,0
17,28829,65520,6,9,2016-03-01 19:22:22,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9.0,0
18,2375,36724,6,3,2016-03-01 09:49:39,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,3.0,0
19,101215,54209,6,2,2016-03-01 18:55:38,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,0
20,37239,98301,1,2,2016-03-01 21:27:46,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
21,34909,157850,1,2,2016-03-01 07:55:34,2.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
22,48465,165594,1,10,2016-03-01 22:27:09,10.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
