user_id,sku_id
6,12772
18,94944
20,63006
22,160476
24,145946
26,51429
42,20719
43,2100
49,128988
52,72126
64,45669
69,154732
70,37546
72,154636
79,47193
81,40336
83,164258
84,69209
88,24371
93,111840
98,166707
100,33723
101,20077
103,85780
104,5825
108,50922
109,60861
111,89802
114,40336
121,69355
122,6998
124,4285
127,11451
128,57161
138,14163
140,39695
150,125756
151,68615
156,28276
157,11640
160,51207
163,13785
172,10325
173,126791
178,12564
180,38639
188,79636
194,24679
210,8585
212,153395
216,37427
218,154636
220,52343
224,103132
226,56737
228,72967
229,79520
234,5825
235,6533
237,6998
247,20719
252,73398
255,21147
256,1628
258,26934
261,166354
268,14577
270,25003
271,80497
272,5825
274,68615
276,79520
284,44957
291,58930
292,28276
296,14433
307,32465
308,61531
314,132562
317,103652
318,54209
322,16579
325,24371
331,50688
337,55241
338,156471
339,60861
344,5825
345,78694
347,86942
363,92353
372,134084
375,51558
382,46906
383,97025
388,36685
391,11036
397,93070
398,8753
401,143139
403,646
412,646
423,125188
429,36307
433,71110
437,57018
442,25003
443,154636
444,11036
447,64160
450,77589
464,31662
471,60861
476,79520
491,56575
496,32465
498,83347
502,20308
507,31628
508,74517
509,17660
512,25003
520,9159
522,63006
525,92909
527,38639
530,149641
531,13931
533,63006
540,140741
543,63006
544,22469
546,86220
551,14433
552,135272
555,39695
556,8062
568,115495
576,43
579,72967
586,145705
593,6533
604,20719
605,70353
607,36371
608,24371
614,129598
615,21147
620,42988
621,114823
622,20719
624,24735
629,9087
630,28276
632,28276
637,76820
638,20819
642,137805
645,5505
648,108407
649,24371
655,70491
656,32465
659,154636
660,12564
667,153051
668,31662
673,95735
675,72967
682,111472
685,15168
689,43025
690,27231
695,85780
697,131300
698,154208
702,95435
705,15073
707,7196
708,62872
713,54209
717,1539
719,106667
724,60230
726,147796
735,116510
736,119052
737,5505
744,91048
745,54209
746,72855
747,5916
748,31662
760,5825
767,28276
768,132782
770,31662
773,63006
783,66088
789,51168
790,22030
797,165190
800,6486
806,52343
808,31493
809,11036
810,32465
817,76003
822,99106
829,62266
831,63006
836,90521
840,49474
842,22140
856,135272
864,32465
870,61531
871,12564
873,106714
876,82768
878,165614
880,7196
884,20308
885,36692
889,24048
896,19253
900,6533
901,30383
902,21942
904,14163
910,22962
913,38639
915,55792
921,18412
928,22607
939,28276
941,80030
955,12564
956,49474
961,71110
964,17032
968,103594
973,70726
974,38222
979,61531
981,25003
989,20719
992,5940
999,86764
1004,125756
1006,63006
1007,21147
1012,57018
1014,48895
1015,59175
1017,5888
1028,69355
1029,20719
1034,7047
1035,24371
1036,53609
1043,47193
1047,14577
1048,20719
1052,11257
1057,155017
1060,5825
1061,24371
1063,22962
1065,22140
1066,113251
1068,28295
1069,20308
1077,14433
1078,25003
1080,40336
1083,5505
1090,52343
1096,61394
1103,129598
1104,20719
1105,46216
1107,171002
1111,163550
1112,60533
1113,108097
1124,111585
1128,55308
1130,1480
1135,75836
1137,5825
